พื้นที่ขาย(ตรม.),พื้นที่ Back Room(ตรม.),พื้นที่รวม(ตรม.),จำนวน Opentype 0.9 m,จำนวน Opentype 1.92 m,จำนวนตู้แช่ข้าวกล่องตัว,จำนวนตู้แช่ข้าวกล่องบาน,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,0.00,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
168.05,60.65,228.7,0,4,2,0,"15,190","14,616","16,654","15,942","15,473","15,279","15,916","16,311","15,931","16,204","14,028","13,949","14,616","13,046","15,020","15,255","14,543","14,537","16,711","14,645","14,155","16,328","14,054","15,774","15,164","13,481","16,424","15,967","16,801","15,359","15,917","15,266","15,842","15,188","13,629","12,380","14,600","12,668","13,380","12,379","13,680","12,797","12,101","12,962","12,973","11,891","11,809","12,024","10,600","10,906","12,073","11,534","13,450","12,330","12,105","12,985","11,449",0.00,"20,788","23,312","25,613","24,020","24,416","25,255","24,756","24,995","25,244","24,441","23,498","23,492","22,965","21,409","24,163","21,856","22,952","23,733","23,668","22,264","21,497","21,868","21,710","21,984","21,727","20,068","22,498","21,439","24,412","22,437","22,999","21,386","21,311","21,335","21,221","20,059","20,686","20,103","22,205","17,102","17,366","16,245","19,075","19,969","18,613","20,209","19,481","19,941","17,338","18,773","20,917","17,227","18,938","18,003","17,715","17,871","15,771"
133.85,35,168.85,0,3,2,0,"16,285","15,406","19,135","19,870","18,574","16,803","17,001","18,201","18,352","18,995","17,549","17,080","16,392","15,468","19,482","20,094","20,681","19,599","19,282","18,533","17,454","20,713","18,084","19,128","18,979","18,225","20,460","22,327","21,744","20,245","19,900","19,477","18,268","18,813","15,895","14,559","16,242","14,779","18,952","17,247","18,607","17,197","17,786","17,338","16,854","15,393","14,689","13,870","13,207","13,118","16,768","16,228","17,401","16,714","15,046","14,926","13,313",0.00,"44,813","40,551","48,212","49,107","46,703","44,842","46,402","46,378","46,135","46,839","43,847","47,152","45,913","40,615","48,808","48,684","48,872","47,822","48,048","45,774","45,467","49,930","47,046","49,624","47,870","45,138","51,208","49,453","50,875","48,818","49,529","46,572","47,123","49,630","46,681","47,945","48,220","44,750","49,121","38,651","41,228","41,068","44,218","42,567","40,576","40,468","29,246","26,099","25,298","23,017","26,673","25,761","27,191","26,329","25,124","25,571","22,876"
107.34,26.69,134.03,2,3,2,0,"15,250","13,062","14,536","16,047","15,879","15,610","13,873","15,657","15,501","14,567","14,985","14,583","12,946","14,175","10,849","8,103","13,589","13,741","13,148","13,345","12,945","14,457","14,502","13,567","13,480","14,224","13,566","15,692","16,421","16,352","15,520","15,682","13,945","16,286","15,776","13,562","21,567","14,258","15,875","15,065","16,839","15,168","14,932","14,581","14,686","14,689","13,879","13,265","12,355","12,903","15,785","14,993","16,483","15,379","14,630","14,135","12,774",0.00,"45,792","43,587","52,728","49,095","50,743","49,103","47,938","47,414","47,152","46,104","45,452","44,432","45,269","42,150","17,032","42,018","45,329","45,569","45,541","44,894","43,808","47,114","45,845","47,112","46,593","42,413","48,447","46,441","47,495","45,121","45,249","43,537","41,916","44,949","41,762","40,962","42,479","39,401","42,408","31,483","34,534","32,847","34,012","34,436","31,997","31,980","31,340","33,007","32,333","29,683","32,476","31,047","31,998","31,945","31,018","27,098","26,059"
189.88,60.02,249.9,0,4,2,0,"13,822","12,783","14,403","14,051","14,694","13,962","14,135","14,847","13,914","13,589","12,832","13,082","13,549","12,611","14,539","14,572","14,086","13,544","14,044","14,232","13,766","13,647","13,026","13,621","14,125","13,441","14,996","15,614","15,785","14,380","14,726","15,096","14,204","14,527","13,779","15,123","18,522","17,025","18,720","16,866","18,177","16,726","17,224","16,310","15,749","14,766","13,756","13,161","12,821","11,958","13,659","14,046","14,233","14,363","15,537","15,070","14,448",0.00,"40,735","40,619","34,346","28,689","27,607","24,704","25,905","27,054","24,329","22,222","24,372","29,866","36,157","33,489","34,769","27,551","26,468","24,825","27,081","26,038","25,145","23,629","23,691","28,856","33,889","34,029","33,307","28,735","26,558","24,647","27,514","27,924","25,514","25,404","23,965","28,311","36,259","36,016","28,396","18,284","19,629","18,568","18,800","17,877","15,985","14,104","12,967","13,693","14,810","12,689","14,979","15,810","18,132","18,703","19,940","18,569","16,120"
163.72,61.68,225.4,1,3,2,0,"12,534","11,346","14,448","15,087","16,378","14,434","14,535","16,029","14,561","15,344","14,249","13,959","14,118","13,229","16,019","16,114","16,147","15,448","15,392","15,083","14,731","16,828","15,603","15,677","14,465","14,135","17,102","18,852","18,949","16,916","17,791","16,330","15,924","18,457","16,196","16,070","17,873","16,201","19,215","19,676","20,815","18,909","18,772","17,670","17,468","15,629","15,752","15,062","14,423","14,026","18,040","19,266","19,647","18,030","15,994","14,701","14,530",0.00,"39,505","34,864","40,928","44,527","40,913","38,900","41,623","40,847","39,851","42,971","38,812","44,248","42,698","38,418","45,732","47,375","44,496","44,025","45,644","41,278","41,883","45,158","42,705","48,105","47,579","45,046","52,675","53,941","52,036","50,527","50,470","49,017","49,361","51,881","49,500","53,144","50,492","48,292","52,767","45,083","46,262","43,433","45,434","43,728","40,994","42,249","40,674","43,377","41,967","36,880","42,058","42,399","39,930","37,296","29,069","27,443","35,484"
100.91,16.34,117.25,1,3,3,0,"9,582","9,679","9,302","10,996","11,382","11,031","10,565","10,178","10,734","10,428","9,975","9,611","9,338","9,856","9,320","10,540","10,596","11,185","10,389","10,695","10,510","10,658","11,021","10,368","10,423","10,654","10,418","12,254","13,204","12,764","11,162","11,113","10,839","10,530","11,314","10,143","10,246","10,912","10,421","12,194","11,803","12,993","12,580","12,535","11,413","11,154","10,594","10,142","9,988","9,980","9,289","11,426","10,707","11,631","10,509","9,976","10,127",0.00,"30,595","29,063","34,637","33,207","34,336","33,139","32,505","32,599","32,771","31,333","29,825","30,323","30,206","27,554","32,628","30,401","32,008","32,035","30,933","31,000","31,213","35,825","34,371","35,655","34,510","32,082","35,665","33,833","35,994","33,362","34,273","33,303","31,872","35,923","32,728","32,104","32,658","31,981","32,860","23,661","25,349","24,512","26,452","26,903","25,995","26,388","24,110","24,563","21,125","19,823","23,461","20,516","20,231","20,532","19,509","18,433","17,117"
137.06,41.71,178.77,2,2,2,0,"12,120","12,190","13,166","16,027","16,359","15,759","14,114","14,931","14,651","13,822","14,476","12,852","12,313","14,045","14,228","16,688","16,638","17,439","17,469","18,080","16,543","15,740","16,560","16,271","16,443","16,464","16,377","19,437","20,146","18,648","16,476","17,307","16,379","15,372","16,046","13,562","15,557","16,410","15,962","17,421","17,180","17,626","17,546","17,438","17,947","15,544","15,368","15,046","13,820","15,268","15,888","17,793","16,418","17,089","15,522","15,171","14,254",0.00,"41,189","38,861","45,250","43,886","44,870","44,705","44,636","44,636","44,217","43,356","40,898","41,222","41,215","37,743","44,189","41,983","45,001","43,893","45,291","43,988","42,982","43,668","43,048","43,982","43,023","40,855","45,624","45,463","46,114","43,230","43,260","41,926","39,048","41,450","40,209","39,657","43,002","42,733","42,181","30,612","33,061","31,580","34,800","34,618","34,160","34,438","32,964","32,213","27,915","27,940","32,127","29,093","28,917","28,684","26,778","23,439","21,902"
132.39,42.03,174.42,1,2,2,2,"11,254","11,295","11,632","13,216","13,580","13,476","12,768","13,477","13,404","12,332","12,484","12,015","10,709","11,810","11,430","12,889","12,358","13,740","13,330","13,840","13,486","13,252","13,234","12,699","12,512","13,112","12,691","14,524","14,949","14,285","13,821","14,282","13,754","13,083","13,341","12,497","12,673","13,187","13,181","13,919","13,377","14,425","13,592","13,231","13,375","12,071","11,746","11,461","10,224","10,977","10,894","12,813","12,358","13,428","12,977","12,270","11,843",0.00,"29,044","27,174","32,556","30,765","31,417","30,322","33,448","35,755","32,120","29,836","29,171","29,261","28,263","25,594","30,005","26,502","28,464","28,184","27,859","26,520","25,735","27,018","26,410","26,386","24,964","23,645","27,681","25,959","27,375","25,588","26,780","27,115","25,063","27,382","26,376","25,970","26,027","28,145","29,814","19,417","22,268","21,466","23,266","24,065","22,513","22,712","22,081","22,383","20,837","19,803","23,580","20,888","21,847","21,319","18,727","19,336","19,117"
200.68,64.68,265.36,0,4,2,0,"14,438","13,348","15,752","15,310","15,654","15,345","15,278","16,192","16,178","16,059","14,294","14,317","14,631","13,389","15,465","15,580","15,956","15,020","15,676","15,404","6,530","18,459","17,594","18,251","16,729","16,770","19,966","21,626","21,873","20,260","21,124","20,580","19,043","19,964","17,373","17,332","18,376","16,704","19,485","17,330","19,273","18,100","18,492","18,837","17,230","15,720","15,576","19,454","11,110","14,949","17,519","17,453","18,974","19,399","17,872","17,757","14,917",0.00,"30,380","27,959","30,280","30,307","28,838","27,539","27,589","28,369","27,035","27,151","27,420","28,844","28,942","26,139","29,095","28,178","27,225","26,699","27,326","25,978","7,443","28,866","31,349","34,204","34,530","32,167","35,295","37,117","37,508","35,807","36,173","36,647","38,389","38,675","36,942","38,889","39,508","36,922","35,016","21,668","22,343","22,097","22,745","21,005","20,313","20,296","19,850","19,655","16,011","17,337","20,760","19,231","18,000","18,764","18,597","20,965","20,440"
199.11,53.65,252.76,2,3,2,0,"16,488","15,040","18,029","17,923","18,265","17,919","17,893","18,340","18,093","20,956","18,972","17,778","16,750","15,112","17,568","20,025","20,026","21,656","23,743","20,061","19,391","20,072","19,418","20,360","19,370","18,492","21,458","20,326","20,523","19,267","20,910","21,067","19,224","20,747","18,696","17,369","18,845","17,885","19,732","19,926","20,357","19,293","20,082","20,216","15,809","14,245","14,137","13,948","12,885","12,753","15,225","14,474","15,045","14,959","14,639","15,055","13,573",0.00,"43,976","38,863","41,599","45,156","45,562","44,051","44,936","44,495","44,758","44,960","40,561","43,367","43,265","39,205","45,483","45,136","44,698","43,716","44,671","43,400","42,821","44,778","41,134","43,789","41,912","38,744","44,787","45,951","45,351","43,298","43,951","43,806","41,891","43,320","41,776","43,576","42,401","40,488","40,626","32,108","33,004","31,365","33,256","31,453","29,464","29,489","27,506","28,329","24,633","23,775","27,225","26,390","26,547","25,805","23,513","23,588","21,812"
